loop_index,weight
0,-13.932833
1,4.213205
2,14.438802
3,-25.510217
4,-30.826192
5,51.870775
6,-65.072682
7,119.029223
8,59.234574
9,-114.738579
10,12.483442
11,-0.780511
12,56.398172
13,-30.282181
14,-44.392291
15,-16.386844
16,2.013730
17,30.955677
18,86.663199
19,20.863535
20,-106.129593
21,32.129387
22,-18.519898
23,-24.878442
24,-105.131763
25,39.257789
26,-39.750521
27,151.921554
28,-12.231659
29,-49.911773
30,104.597384
31,-88.277472
